iter	RMSE
228	4.715040994
229	4.714190983
230	4.711313336
231	4.705144841
232	4.70289489
233	4.701048622
234	4.698459626
235	4.696332543
236	4.694342388
237	4.693651627
238	4.688678521
239	4.684870152
240	4.682362007
241	4.681644892
242	4.679594088
243	4.676971058
244	4.672954327
245	4.670987293
246	4.668747103
247	4.664182882
248	4.658735219
249	4.653046818
250	4.64884436
251	4.647021884
252	4.642248169
253	4.640082567
254	4.637623575
255	4.635870354
256	4.634188935
257	4.629168331
258	4.625896016
259	4.622249209
260	4.618087036
261	4.613022314
262	4.607840647
263	4.606319625
264	4.604833295
265	4.602751547
266	4.595695568
267	4.590634207
268	4.588456884
269	4.586885251
270	4.585952572
271	4.58380289
272	4.582320848
273	4.578182169
274	4.576464007
275	4.573459046
276	4.567308015
277	4.562045735
278	4.555956532
279	4.553595431
280	4.553051359
281	4.549582783
282	4.546049874
283	4.541335367
284	4.540900079
285	4.536384236
286	4.532625351
287	4.531283387
288	4.528727216
289	4.524695138
290	4.518218256
291	4.516681862
292	4.512180345
293	4.508195861
294	4.504394083
295	4.501321334
296	4.496109416
297	4.49341954
298	4.487477526
299	4.484638385
300	4.481665996
301	4.479054193
302	4.476586567
303	4.476156312
304	4.475275089
305	4.471945988
306	4.469105216
307	4.467323513
308	4.462167328
309	4.457179942
310	4.455408271
311	4.45066214
312	4.446647298
313	4.444560058
314	4.441817021
315	4.439587335
316	4.434292637
317	4.430326066
318	4.426036801
319	4.42036644
320	4.41906084
321	4.417568988
322	4.412741159
323	4.410249065
324	4.405708806
325	4.400643797
326	4.399249404
327	4.396968342
328	4.394599875
329	4.389245257
330	4.385326068
331	4.384534828
332	4.382665069
333	4.37928916
334	4.374293839
335	4.369912233
336	4.364251158
337	4.361967777
338	4.359960764
339	4.356899715
340	4.351668227
341	4.35060623
342	4.349280177
343	4.346137944
344	4.345074548
345	4.338423498
346	4.334351999
347	4.331205819
348	4.325738274
349	4.325002762
350	4.324272369
351	4.320772543
352	4.316439814
353	4.313817384
354	4.310084871
355	4.305121148
356	4.302661751
357	4.298097521
358	4.293860665
359	4.291619525
360	4.289123064
361	4.287889661
362	4.286586793
363	4.283339684
364	4.281321272
365	4.275447627
366	4.271593814
367	4.269257261
368	4.265420259
369	4.264281229
370	4.262309532
371	4.258644146
372	4.255140151
373	4.254605275
374	4.251341613
375	4.249369171
376	4.2462179
377	4.240521805
378	4.234506953
379	4.23034031
380	4.229386168
381	4.226445778
382	4.221692774
383	4.216674565
384	4.213989393
385	4.210382801
386	4.207878621
387	4.205522838
388	4.201865511
389	4.196613712
390	4.194552769
391	4.193468843
392	4.190179593
393	4.187316895
394	4.18507826
395	4.182732604
396	4.18139128
397	4.180586966
398	4.178797689
399	4.17565586
400	4.173778945
401	4.171214642
402	4.166597012
403	4.161295132
404	4.159282097
405	4.155714785
406	4.155421007
407	4.151403182
408	4.149706049
409	4.149164746
410	4.148104642
411	4.145219184
412	4.140563067
413	4.136608944
414	4.132518353
415	4.128104494
416	4.124762368
417	4.120489087
418	4.114729812
419	4.11175831
420	4.110137879
421	4.107625416
422	4.104100885
423	4.102590981
424	4.099758143
425	4.097767653
426	4.096939938
427	4.093983596
428	4.092805995
429	4.092053602
430	4.08972676
431	4.087066102
432	4.083888176
433	4.082160332
434	4.081504697
435	4.081395764
436	4.07745356
437	4.073808983
438	4.072219846
439	4.067389942
440	4.064970227
441	4.064344352
442	4.062102884
443	4.060563971
444	4.056618345
445	4.05194632
446	4.047969863
447	4.047492154
448	4.042187583
449	4.038566365
450	4.037997908
451	4.034826833
452	4.032871026
453	4.029360034
454	4.028462265
455	4.026382525
456	4.022756896
457	4.020920249
458	4.020277756
459	4.018983807
460	4.015784973
461	4.013512459
462	4.009523838
463	4.006359901
464	4.004633342
465	4.003388069
466	3.999173866
467	3.99769506
468	3.994038564
469	3.993428259
470	3.993034613
471	3.992653
472	3.992032129
473	3.988619841
474	3.988120359
475	3.985286858
476	3.981629806
477	3.981039034
478	3.979181804
479	3.978713944
480	3.977989652
481	3.977830022
482	3.976887151
483	3.974334325
484	3.973785833
485	3.971509067
486	3.971098207
487	3.97070102
488	3.96660626
489	3.965357902
490	3.963243184
491	3.962924227
492	3.959666357
493	3.95711014
494	3.956068085
495	3.953628109
496	3.951817154
497	3.948511176
498	3.94464275
499	3.940194162
500	3.93930065
501	3.937829136
502	3.937547441
503	3.935268329
504	3.934695201
505	3.933784052
506	3.929356017
507	3.928509223
508	3.926835911
509	3.924626361
510	3.92127533
511	3.917892728
512	3.91410863
513	3.909644121
514	3.907797113
515	3.905624499
516	3.902066751
517	3.899460941
518	3.8973134
519	3.895638068
520	3.895328106
521	3.893785501
522	3.893582758
523	3.891038147
524	3.888578577
525	3.884593826
526	3.87871903
527	3.877814874
528	3.877043301
529	3.87522228
530	3.87252597
531	3.87067007
532	3.8679492
533	3.864154829
534	3.859715505
535	3.858331046
536	3.856594317
537	3.85264993
538	3.849407911
539	3.846356852
540	3.844788411
541	3.842686115
542	3.841826786
543	3.837409922
544	3.835553505
545	3.834228865
546	3.83382675
547	3.832423841
548	3.831819947
549	3.82929012
550	3.825390307
551	3.821050048
552	3.817646586
553	3.813863237
554	3.810761478
555	3.80756256
556	3.805864959
557	3.804722834
558	3.802768864
559	3.802300506
560	3.800089062
561	3.798456856
562	3.795510253
563	3.791828327
564	3.789926463
565	3.787007288
566	3.782996637
567	3.780146956
568	3.779462375
569	3.777988965
570	3.776498938
571	3.774587373
572	3.770566136
573	3.767135644
574	3.765964967
575	3.763535889
576	3.759955353
577	3.758247096
578	3.753862231
579	3.753554194
580	3.751579946
581	3.749825521
582	3.749633572
583	3.747115401
584	3.746484859
585	3.742465919
586	3.741958212
587	3.73577766
588	3.73226065
589	3.729451562
590	3.726590453
591	3.724488315
592	3.722739164
593	3.720543559
594	3.717270128
595	3.713390771
596	3.711647876
597	3.710451314
598	3.708980257
599	3.706106662
600	3.705892183
601	3.704445516
602	3.703151577
603	3.701662748
604	3.700285128
605	3.698440068
606	3.696008456
607	3.693016238
608	3.689805899
609	3.688306975
610	3.685359242
611	3.682770977
612	3.681300019
613	3.679407513
614	3.67756699
615	3.676520048
616	3.673833235
617	3.672570128
618	3.669241591
619	3.665389622
620	3.66473435
621	3.664226498
622	3.66309596
623	3.6596099
624	3.657217405
625	3.65537452
626	3.652763601
627	3.652421835
628	3.64974139
629	3.648088005
630	3.646486528
631	3.644360133
632	3.642584665
633	3.640287722
634	3.63762944
635	3.633935182
636	3.63196018
637	3.631633233
638	3.629078541
639	3.62714847
640	3.623041981
641	3.621616537
642	3.620274335
643	3.618812205
644	3.617317113
645	3.614705937
646	3.613794258
647	3.613452516
648	3.60955273
649	3.606765303
650	3.605164304
651	3.604895235
652	3.604618983
653	3.604008956
654	3.601321433
655	3.598999466
656	3.597181365
657	3.596312287
658	3.592778149
659	3.589939594
660	3.58968358
661	3.588741129
662	3.586528371
663	3.586277294
664	3.582323666
665	3.579177719
666	3.577265145
667	3.577101787
668	3.575456008
669	3.575138138
670	3.572648826
671	3.571018096
672	3.570791006
673	3.56913609
674	3.568737882
675	3.566218934
676	3.564612065
677	3.564191958
678	3.560989004
679	3.558024007
680	3.555835698
681	3.554093718
682	3.552307103
683	3.549008388
684	3.54767733
685	3.545848892
686	3.543474556
687	3.542762724
688	3.540718136
689	3.539262998
690	3.537732907
691	3.5350881
692	3.534135853
693	3.530770151
694	3.52795455
695	3.527824778
696	3.526474295
697	3.526320348
698	3.523945903
699	3.520468512
700	3.519621734
701	3.516917157
702	3.513992721
703	3.51369124
704	3.510908961
705	3.507045675
706	3.505797428
707	3.503337688
708	3.499018324
709	3.495820459
710	3.495683758
711	3.493349271
712	3.491804443
713	3.49026799
714	3.488743981
715	3.483682478
716	3.481899872
717	3.481141879
718	3.480832021
719	3.480375909
720	3.480210731
721	3.477029976
722	3.475208197
723	3.474190975
724	3.473268542
725	3.471971672
726	3.469451412
727	3.466287302
728	3.463053797
729	3.460344066
730	3.459181022
731	3.457650451
732	3.454480385
733	3.45408796
734	3.452482555
735	3.449223699
736	3.446815772
737	3.445730132
738	3.442996283
739	3.44064377
740	3.437478221
741	3.43645606
742	3.436105279
743	3.435368075
744	3.433779449
745	3.432780315
746	3.431570962
747	3.430584116
748	3.428231391
749	3.426922683
750	3.426164196
751	3.425106046
752	3.424873037
753	3.421698454
754	3.419581881
755	3.418743519
756	3.415792124
757	3.414301977
758	3.41338044
759	3.410573405
760	3.409384225
761	3.408172077
762	3.407189599
763	3.404401003
764	3.40254347
765	3.402446919
766	3.398184802
767	3.396997595
768	3.395380963
769	3.394784329
770	3.393422925
771	3.392021672
772	3.390011371
773	3.389596087
774	3.388267576
775	3.386967603
776	3.383820048
777	3.382597837
778	3.381315852
779	3.379540116
780	3.378717593
781	3.376605616
782	3.375960832
783	3.373171333
784	3.372149193
785	3.369937357
786	3.369728632
787	3.36920899
788	3.368671449
789	3.367668513
790	3.366436819
791	3.366197872
792	3.363340307
793	3.359653451
794	3.356776787
795	3.354124645
796	3.352255096
797	3.350357388
798	3.35026573
799	3.347298656
800	3.344286295
801	3.34369584
802	3.341529123
803	3.337423555
804	3.335719297
805	3.335312191
806	3.334328127
807	3.333369093
808	3.330838973
809	3.329863428
810	3.327561597
811	3.327397105
812	3.326844279
813	3.32424462
814	3.323296058
815	3.320973357
816	3.319253262
817	3.31672309
818	3.316443895
819	3.315089971
820	3.312605236
821	3.310020776
822	3.308677647
823	3.30642912
824	3.306250817
825	3.303646598
826	3.301505478
827	3.300905318
828	3.299205413
829	3.29693704
830	3.295795977
831	3.29318181
832	3.291325353
833	3.290201161
834	3.289925521
835	3.289748486
836	3.288184913
837	3.286619758
838	3.284627228
839	3.282354832
840	3.280531064
841	3.277524883
842	3.275944839
843	3.273376103
844	3.272651935
845	3.271236854
846	3.270181016
847	3.268514396
848	3.268015467
849	3.26600393
850	3.264046571
851	3.262825978
852	3.262619353
853	3.261651775
854	3.259316704
855	3.25684406
856	3.256647107
857	3.254304959
858	3.25397272
859	3.253054188
860	3.251742695
861	3.249995848
862	3.247361527
863	3.245146411
864	3.243839241
865	3.241840224
866	3.241108611
867	3.240732869
868	3.239391999
869	3.239233197
870	3.238299139
871	3.237673023
872	3.236257792
873	3.235704423
874	3.234243724
875	3.231966077
876	3.229699624
877	3.227752109
878	3.225759581
879	3.22458285
880	3.223783174
881	3.221038363
882	3.220513314
883	3.218822207
884	3.217873536
885	3.216756849
886	3.216235246
887	3.215351582
888	3.21408503
889	3.21392916
890	3.21254631
891	3.209562474
892	3.206949431
893	3.205578152
894	3.202740612
895	3.200097618
896	3.199260394
897	3.196489684
898	3.194061092
899	3.193885544
900	3.192613808
901	3.191034681
902	3.19019929
903	3.187787633
904	3.186224569
905	3.18448096
906	3.181162777
907	3.180100683
908	3.17989862
909	3.178478669
910	3.176212726
911	3.175299466
912	3.173214845
913	3.17170321
914	3.167751471
915	3.167575521
916	3.166715501
917	3.162014691
918	3.159449328
919	3.158700282
920	3.156214967
921	3.156021436
922	3.154987039
923	3.151209742
924	3.150036567
925	3.149235302
926	3.149004847
927	3.146573394
928	3.143868518
929	3.143345872
930	3.14197258
931	3.141397602
932	3.139061704
933	3.137455299
934	3.136831624
935	3.134546496
936	3.133474177
937	3.130505774
938	3.129601567
939	3.128843587
940	3.127215138
941	3.126585077
942	3.125487683
943	3.123961872
944	3.123659491
945	3.122131594
946	3.119730884
947	3.117995029
948	3.117431448
949	3.116710654
950	3.116645069
951	3.115460451
952	3.112844134
953	3.111100428
954	3.108906038
955	3.105233111
956	3.103798737
957	3.102772934
958	3.100668523
959	3.099513621
960	3.097764662
961	3.094924333
962	3.093319476
963	3.092433991
964	3.091064536
965	3.088066355
966	3.086967928
967	3.08384977
968	3.082959763
969	3.079266352
970	3.077930386
971	3.075963357
972	3.07270415
973	3.071594323
974	3.071144818
975	3.069860725
976	3.068257119
977	3.065322264
978	3.063479161
979	3.061355535
980	3.058903974
981	3.05827737
982	3.056079993
983	3.054899965
984	3.05374544
985	3.052161662
986	3.051376748
987	3.049089749
988	3.047810381
989	3.046736868
990	3.046200524
991	3.043845883
992	3.042214382
993	3.042159412
994	3.04077872
995	3.040747578
996	3.039532022
997	3.037215542
998	3.034731297
999	3.032342978
